Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Выход из закалки поддона № 64209]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937647;2012-07-02T6:27:02.000+0300;282
Добавление документа;[Выход из закалки поддона № 64210]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937648;2012-07-02T6:27:04.000+0300;282
Добавление документа;[Выход из закалки поддона № 64211]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937649;2012-07-02T6:27:07.000+0300;282
Добавление документа;[Выход из закалки поддона № 64212]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937650;2012-07-02T6:27:09.000+0300;282
Добавление документа;[Выход из закалки поддона № 64213]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937651;2012-07-02T6:27:11.000+0300;282
Добавление документа;[Выход из закалки поддона № 64214]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937652;2012-07-02T6:27:14.000+0300;282
Добавление документа;[Выход из закалки поддона № 64215]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937653;2012-07-02T6:27:16.000+0300;282
Добавление документа;[Выход из закалки поддона № 64216]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937654;2012-07-02T6:27:18.000+0300;282
Добавление документа;[Выход из закалки поддона № 64217]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937655;2012-07-02T6:27:21.000+0300;282
Добавление документа;[Выход из закалки поддона № 64218]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937656;2012-07-02T6:27:23.000+0300;282
Добавление документа;[Выход из закалки поддона № 64219]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937657;2012-07-02T6:27:26.000+0300;282
Добавление документа;[Выход из закалки поддона № 64220]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937658;2012-07-02T6:27:28.000+0300;282
Добавление документа;[Выход из закалки поддона № 64201]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937639;2012-07-02T6:27:31.000+0300;282
Добавление документа;[Выход из закалки поддона № 64222]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937660;2012-07-02T6:28:45.000+0300;282
Добавление документа;[Выход из закалки поддона № 64223]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937661;2012-07-02T6:28:47.000+0300;282
Добавление документа;[Выход из закалки поддона № 64224]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937662;2012-07-02T6:28:50.000+0300;282
Добавление документа;[Выход из закалки поддона № 64225]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937663;2012-07-02T6:28:52.000+0300;282
