Activity_details;Activity_type;DB_File_Num;koddoc;time:timestamp;User_id
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937664;2012-07-02T6:28:54.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937665;2012-07-02T6:28:57.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937666;2012-07-02T6:28:59.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937667;2012-07-02T6:29:01.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937668;2012-07-02T6:29:04.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937669;2012-07-02T6:29:06.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937670;2012-07-02T6:29:09.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937671;2012-07-02T6:29:11.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937672;2012-07-02T6:29:13.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937673;2012-07-02T6:29:16.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937674;2012-07-02T6:29:18.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937675;2012-07-02T6:29:20.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937676;2012-07-02T6:29:23.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937677;2012-07-02T6:29:25.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937678;2012-07-02T6:29:28.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937679;2012-07-02T6:29:30.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937680;2012-07-02T6:29:33.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937681;2012-07-02T6:29:35.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937682;2012-07-02T6:29:37.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937683;2012-07-02T6:29:40.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937684;2012-07-02T6:29:42.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937685;2012-07-02T6:29:45.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937686;2012-07-02T6:29:47.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937687;2012-07-02T6:29:49.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937688;2012-07-02T6:29:52.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937659;2012-07-02T6:29:55.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937690;2012-07-02T6:31:44.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937691;2012-07-02T6:31:47.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937692;2012-07-02T6:31:49.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937693;2012-07-02T6:31:52.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937694;2012-07-02T6:31:54.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937695;2012-07-02T6:31:56.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937696;2012-07-02T6:31:59.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937697;2012-07-02T6:32:01.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937698;2012-07-02T6:32:03.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937699;2012-07-02T6:32:06.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937700;2012-07-02T6:32:08.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937701;2012-07-02T6:32:11.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937702;2012-07-02T6:32:13.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937703;2012-07-02T6:32:15.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937704;2012-07-02T6:32:18.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937705;2012-07-02T6:32:20.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937706;2012-07-02T6:32:22.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937707;2012-07-02T6:32:25.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937708;2012-07-02T6:32:27.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937709;2012-07-02T6:32:30.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937710;2012-07-02T6:32:32.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937689;2012-07-02T6:32:35.000+0300;282
[Рабочая рецептура]; тип [Производство полуфаб->Рабочая рецептура на смесь]; файл dc000052; koddoc = 5937711;2012-07-02T6:33:15.000+0300;276
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937713;2012-07-02T6:35:12.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937714;2012-07-02T6:35:15.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937715;2012-07-02T6:35:17.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937716;2012-07-02T6:35:20.000+0300;282
[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039; koddoc = 5937717;2012-07-02T6:35:22.000+0300;282
